company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
Wipro,MNC/IT Services,13,17.01,16.55,7.8,0,"SQL, Python, Java, Spark, Machine Learning",estimated_only
cloudneeti,Startup/Other,13,14.01,11.24,5.8,0,"Tableau, SQL, Spark, Python, Machine Learning",estimated_only
Impetus,Startup/Other,13,14.44,11.32,5.5,0,"Spark, SQL, Java, Python, AWS",estimated_only
jupiter,Startup/Other,13,11.9,11.01,4.7,0,"Machine Learning, Java, Statistics, Scala, Excel",estimated_only
Philips,Startup/Other,12,18.96,19.17,8.5,0,"Machine Learning, Agile, Java, SQL, Data Visualization",estimated_only
TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,Consulting,12,16.87,15.27,6.0,0,"Machine Learning, Python, Tableau, Spark, Databricks",estimated_only
Harman Connected Services Corporation India Pvt.,Startup/Other,12,16.21,15.52,6.6,0,"Agile, ETL, Data Modeling, Spark, Azure",estimated_only
Yo HR Consultancy,Startup/Other,12,15.66,12.1,6.4,0,"Spark, Python, Machine Learning, Java, SQL",estimated_only
Intel,Startup/Other,11,12.6,11.22,5.2,0,"Agile, Machine Learning, SQL, MATLAB, Spark",estimated_only
Optico Solutions Pvt. Ltd.,Startup/Other,11,19.46,17.23,7.9,0,"Python, Spark, SQL, Azure, ETL",estimated_only
Confidential,Startup/Other,11,15.05,15.65,6.5,0,"Spark, Python, SQL, Java, Machine Learning",estimated_only
Talent Zone Consultant,Startup/Other,11,15.75,12.78,6.5,0,"Spark, Machine Learning, Python, R, Excel",estimated_only
Databricks,Startup/Other,11,14.19,15.28,5.5,0,"Spark, AWS, Python, Azure, Machine Learning",estimated_only
Deutsche Bank,Startup/Other,11,9.87,10.1,4.2,0,"Agile, ETL, Excel, SQL",estimated_only
Vision Beyond Resources India Private Limited,Startup/Other,11,21.61,21.12,9.0,0,"SQL, Python, Azure, Data Modeling, AWS",estimated_only
Siemens,Startup/Other,11,13.84,13.77,5.6,0,"Python, ETL, Agile, Machine Learning, SQL",estimated_only
Team4Progress,Startup/Other,11,19.96,17.64,8.5,0,"Spark, SQL, Python, Scala, Kafka",estimated_only
Moody's,Startup/Other,10,11.49,9.82,4.8,0,"Excel, APIs, Data Modeling, Python, Power BI",estimated_only
Micron Tech,Startup/Other,10,16.41,16.05,6.0,0,"Spark, SQL, Machine Learning, Python, ETL",estimated_only
"Rakuten, Inc.",Startup/Other,10,16.68,14.16,6.9,0,"Machine Learning, Communication, Agile, SQL, Spark",estimated_only
SKILLVENTORY,Startup/Other,10,17.5,17.91,7.2,0,"Spark, Machine Learning, TensorFlow, Data Modeling, Tableau",estimated_only
Snaphunt,Product,10,20.17,20.2,6.2,0,"Python, NoSQL, SQL, Java, Spark",estimated_only
CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Startup/Other,10,16.24,16.48,6.5,0,"Python, Spark, Scala, Java, Machine Learning",estimated_only
FUTURES AND CAREERS,Startup/Other,10,18.0,17.92,6.8,0,"Spark, Python, SQL, AWS, Airflow",estimated_only
Paytm,Product,10,18.38,18.58,6.8,0,"Machine Learning, SQL, NoSQL, Statistics, Scala",estimated_only
UPL,Startup/Other,10,16.9,14.95,7.8,0,"Python, Machine Learning, AWS, Azure, Scala",estimated_only
EPAM Systems,Startup/Other,10,17.9,17.16,8.1,0,"Spark, Python, SQL, Java, Agile",estimated_only
Informatica,Startup/Other,9,19.16,21.61,7.9,0,"Java, Python, AWS, Azure, ETL",estimated_only
Clarivate,Startup/Other,9,10.63,9.14,4.1,0,"Agile, Excel, ETL, SQL, Data Modeling",estimated_only
referral,Startup/Other,9,12.11,9.52,4.8,0,"Machine Learning, Data Visualization, Communication, SAS, Spark",estimated_only
Western Digital,Startup/Other,9,13.92,15.25,5.6,0,"SQL, Python, Spark, Tableau, Excel",estimated_only
AllianceData,Startup/Other,9,11.77,10.7,4.6,0,"SAS, Agile",estimated_only
Altisource Business Solutions Pvt Ltd,Startup/Other,9,10.46,9.69,4.3,0,"Excel, SQL, GCP, Data Visualization, Git",estimated_only
Anlage Infotech (I) Pvt. Ltd.,Startup/Other,9,19.6,17.38,8.1,0,"AWS, Spark, Python, Scala, Agile",estimated_only
Arrow Electronics,Startup/Other,9,9.61,10.08,3.4,0,"Power BI, SQL, Data Modeling, C++, Plotly",estimated_only
TeamPlus Staffing Solution Pvt Ltd,Startup/Other,9,14.01,14.66,5.8,0,"Machine Learning, ETL, Agile, SQL, Python",estimated_only
KPMG,Consulting,9,12.34,12.02,4.0,0,"Spark, ETL, Java, Azure, GCP",estimated_only
Razorpay,Product,9,13.98,13.67,4.2,0,"Java, Spark, Python, Data Modeling, NoSQL",estimated_only
Audax Labs,Startup/Other,9,13.45,11.49,5.8,0,"Java, Azure, AWS, Python, SQL",estimated_only
Ericsson Global Services,Startup/Other,9,20.87,20.17,9.9,0,"Machine Learning, Python, GCP, TensorFlow, C++",estimated_only
Luxoft,Startup/Other,9,17.2,16.34,7.5,0,"SQL, Python, Agile, Spark, ETL",estimated_only
Benchire,Startup/Other,9,12.69,11.51,5.1,0,"SQL, NoSQL, Tableau, Python, GCP",estimated_only
Refinitiv,Startup/Other,9,7.38,7.02,2.8,0,"NLP, Excel, APIs",estimated_only
Morgan Stanley,Startup/Other,9,13.34,15.06,4.8,0,"ETL, Agile, Python, GCP, Java",estimated_only
Core Edge Solutions,Startup/Other,8,15.87,16.25,6.1,0,"Python, AWS, SQL, Docker, Git",estimated_only
HCL Technologies,MNC/IT Services,8,18.15,18.61,9.3,0,"SQL, Spark, Python, Azure, Scala",estimated_only
CBA Services Private Limited,Startup/Other,8,15.04,15.5,6.0,0,"Agile, SQL, SAS, R",estimated_only
Altimax Business Solutions,Startup/Other,8,16.94,17.02,6.9,0,"SQL, Spark, Scala, ETL, Azure",estimated_only
EXL,Consulting,8,16.19,15.14,5.6,0,"Machine Learning, NLP, Python, R, Java",estimated_only
Wells Fargo,Startup/Other,8,24.5,24.46,11.4,0,"SQL, Python, ETL, Tableau, Spark",estimated_only
SDNA Global,Startup/Other,8,17.75,17.33,7.2,0,"Java, Spark, Scala, AWS, Git",estimated_only
Betsol Software India Private Limited,Startup/Other,8,15.09,15.19,6.2,0,"Java, Docker, Python, AWS, SQL",estimated_only
Parallel Wireless,Startup/Other,8,13.84,13.64,4.7,0,"Spark, Machine Learning, NoSQL, SQL, Python",estimated_only
Juniper Networks,Startup/Other,8,15.57,15.42,7.0,0,"SAS, Agile, C++, SQL, Data Modeling",estimated_only
ITC Infotech,Startup/Other,8,13.26,13.24,4.5,0,"ETL, SQL, Azure, Spark, SAS",estimated_only
KWALEE INDIA PRIVATE LIMITED,Startup/Other,8,13.56,13.67,4.9,0,"Python, SQL, Statistics, TensorFlow, A/B Testing",estimated_only
KARYA CONSULTANTS PRIVATE LIMITED,Startup/Other,8,17.32,17.94,6.8,0,"Python, Azure, Spark, Agile, Tableau",estimated_only
AutoCAD,Startup/Other,8,9.82,9.86,3.9,0,"Python, AWS, Machine Learning, Data Visualization, SQL",estimated_only
Reverie Language Technologies Pvt. Ltd,Startup/Other,8,7.92,6.96,2.9,0,Python,estimated_only
TRH Consultancy Services,Startup/Other,8,20.1,19.66,11.6,0,"Python, AWS, Azure, Machine Learning, Spark",estimated_only
TEKION,Startup/Other,8,12.99,11.9,4.4,0,"Machine Learning, Spark, Data Visualization, Git, R",estimated_only
Sharechat,Startup/Other,8,9.64,8.5,3.7,0,"NLP, Java, Machine Learning, Statistics, SAS",estimated_only
Hotstar,Startup/Other,7,15.12,16.33,5.6,0,"SQL, Spark, Python, Git, Tableau",estimated_only
Concerto HealthAI,Startup/Other,7,13.66,11.01,6.4,0,"SQL, NoSQL, Excel, Agile, Machine Learning",estimated_only
Connexions,Startup/Other,7,13.72,12.08,5.7,0,"Python, Machine Learning, SQL, AWS, Kafka",estimated_only
Kyndryl,Startup/Other,7,14.82,12.31,6.1,0,"Python, Java, AWS, Spark, SAS",estimated_only
Glance IT Solution,Startup/Other,7,12.47,14.72,5.3,0,"NoSQL, SQL, Spark, Python, Tableau",estimated_only
NOTUS SERVICES PRIVATE LIMITED,Startup/Other,7,21.4,22.14,8.9,0,"SQL, Azure, AWS, Spark, ETL",estimated_only
Quest Junction,Startup/Other,7,14.93,16.23,6.5,0,"Data Visualization, Excel, Git, SQL, Google Sheets",estimated_only
Peopleplus Professional Services Pvt. Ltd.,Startup/Other,7,14.37,12.03,7.5,0,"SQL, Spark, Git, Azure, NoSQL",estimated_only
Ness,Startup/Other,7,15.0,15.16,6.9,0,"Azure, Spark, Agile, Communication, SQL",estimated_only
Zscaler Softech,Startup/Other,7,14.9,16.23,6.2,0,"Machine Learning, NoSQL, Java, Spark, SQL",estimated_only
Encora,Startup/Other,7,15.87,16.03,6.5,0,"Python, SQL, AWS, Spark, Kafka",estimated_only
Search Advisers Services ( GUJ ) Pvt. Ltd.,Startup/Other,7,19.12,17.28,11.4,0,"Tableau, ETL, Machine Learning, Excel, AWS",estimated_only
