skill_pair,co_occurrences,avg_salary,salary_source
Pandas + TensorFlow,10,15.5,all_including_estimated
Machine Learning + Pandas,16,15.49,all_including_estimated
Python + R,174,15.46,all_including_estimated
Communication + Scala,16,15.43,all_including_estimated
Databricks + NoSQL,6,15.39,all_including_estimated
Communication + Java,18,15.36,all_including_estimated
AWS + Power BI,11,15.35,all_including_estimated
Machine Learning + SAS,3,15.33,disclosed_only
Machine Learning + R,3,15.33,disclosed_only
Looker + Tableau,5,15.33,all_including_estimated
AWS + Agile,23,15.33,all_including_estimated
R + SAS,3,15.33,disclosed_only
Docker + Spark,19,15.32,all_including_estimated
MATLAB + Python,14,15.31,all_including_estimated
MATLAB + Statistics,6,15.31,all_including_estimated
AWS + Pandas,9,15.31,all_including_estimated
APIs + ETL,19,15.28,all_including_estimated
AWS + Data Visualization,6,15.27,all_including_estimated
Azure + Communication,34,15.25,all_including_estimated
MongoDB + NoSQL,80,15.22,all_including_estimated
Python + SQL,688,15.19,all_including_estimated
NoSQL + Python,100,15.18,all_including_estimated
C++ + Machine Learning,42,15.16,all_including_estimated
ETL + Machine Learning,29,15.14,all_including_estimated
Data Visualization + SQL,71,15.13,all_including_estimated
Git + Python,65,15.12,all_including_estimated
Azure + Pandas,6,15.1,all_including_estimated
Azure + MongoDB,6,15.06,all_including_estimated
MongoDB + Scala,10,15.05,all_including_estimated
Communication + Docker,6,15.05,all_including_estimated
Data Modeling + Power BI,17,15.03,all_including_estimated
NumPy + TensorFlow,10,15.02,all_including_estimated
GCP + Scala,11,15.0,all_including_estimated
Python + R,3,15.0,disclosed_only
APIs + Excel,5,14.97,all_including_estimated
Airflow + ETL,22,14.96,all_including_estimated
Data Visualization + R,27,14.96,all_including_estimated
Communication + Tableau,24,14.96,all_including_estimated
APIs + Communication,14,14.94,all_including_estimated
SAS + SQL,69,14.93,all_including_estimated
NumPy + Python,29,14.93,all_including_estimated
ETL + Tableau,30,14.89,all_including_estimated
Data Modeling + GCP,14,14.88,all_including_estimated
C++ + Python,39,14.82,all_including_estimated
Communication + Git,19,14.8,all_including_estimated
Agile + Java,32,14.79,all_including_estimated
R + SQL,112,14.79,all_including_estimated
Communication + Databricks,8,14.79,all_including_estimated
Communication + ETL,49,14.79,all_including_estimated
Machine Learning + Scikit-learn,5,14.76,all_including_estimated
Communication + GCP,16,14.76,all_including_estimated
APIs + Docker,7,14.75,all_including_estimated
Communication + R,21,14.73,all_including_estimated
MATLAB + SQL,6,14.72,all_including_estimated
Power BI + SQL,90,14.72,all_including_estimated
Python + Tableau,142,14.68,all_including_estimated
APIs + Python,50,14.65,all_including_estimated
Agile + R,5,14.62,all_including_estimated
Azure + Git,14,14.61,all_including_estimated
R + Statistics,62,14.61,all_including_estimated
Agile + Git,36,14.6,all_including_estimated
GCP + Machine Learning,31,14.59,all_including_estimated
APIs + SQL,46,14.58,all_including_estimated
Pandas + SQL,18,14.57,all_including_estimated
Communication + Power BI,21,14.55,all_including_estimated
Excel + Spark,11,14.54,all_including_estimated
Scala + Statistics,10,14.54,all_including_estimated
Communication + Python,104,14.53,all_including_estimated
Communication + Kafka,8,14.53,all_including_estimated
Data Modeling + MATLAB,7,14.52,all_including_estimated
Data Visualization + Tableau,49,14.5,all_including_estimated
Python + Statistics,102,14.5,all_including_estimated
Kafka + Tableau,8,14.45,all_including_estimated
AWS + Communication,31,14.44,all_including_estimated
APIs + Machine Learning,8,14.43,all_including_estimated
Data Modeling + Scala,16,14.41,all_including_estimated
SAS + Tableau,16,14.4,all_including_estimated
R + Tableau,56,14.39,all_including_estimated
SQL + Tableau,130,14.38,all_including_estimated
Pandas + Python,37,14.35,all_including_estimated
Communication + SQL,125,14.35,all_including_estimated
Agile + Excel,9,14.35,all_including_estimated
Python + Scikit-learn,5,14.34,all_including_estimated
Data Modeling + Tableau,23,14.27,all_including_estimated
Machine Learning + NumPy,17,14.25,all_including_estimated
Data Visualization + Machine Learning,42,14.25,all_including_estimated
APIs + Tableau,7,14.25,all_including_estimated
Machine Learning + Power BI,30,14.23,all_including_estimated
Airflow + GCP,8,14.21,all_including_estimated
Python + SQL,3,14.17,disclosed_only
Git + NoSQL,12,14.16,all_including_estimated
AWS + MongoDB,15,14.14,all_including_estimated
SAS + Statistics,41,14.14,all_including_estimated
Java + MongoDB,14,14.13,all_including_estimated
APIs + Azure,10,14.12,all_including_estimated
Data Visualization + Python,46,14.1,all_including_estimated
Git + MongoDB,5,14.09,all_including_estimated
Excel + Power BI,24,14.07,all_including_estimated
Data Modeling + Data Visualization,23,14.0,all_including_estimated
Git + SQL,69,13.99,all_including_estimated
Power BI + Tableau,106,13.98,all_including_estimated
Airflow + Communication,11,13.94,all_including_estimated
C++ + Communication,6,13.89,all_including_estimated
ETL + Statistics,10,13.7,all_including_estimated
Power BI + Python,84,13.68,all_including_estimated
SQL + Statistics,71,13.67,all_including_estimated
SQL + Spark,3,13.67,disclosed_only
Data Visualization + Excel,21,13.64,all_including_estimated
GCP + Statistics,9,13.55,all_including_estimated
Plotly + Tableau,9,13.54,all_including_estimated
Excel + Git,11,13.46,all_including_estimated
Excel + Machine Learning,12,13.37,all_including_estimated
Excel + Tableau,44,13.29,all_including_estimated
Statistics + Tableau,18,13.24,all_including_estimated
